Username,Name,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,Views
@JMJKLOV3R,FACE IS COMING,20 Jan,@PJM_vocal ,2,,32,6255
@Pran__07,Prantik,19 Jan,Looking at the sale price I want to  buy the iPhone 14 pro max so bad but then again I just bought the 13 pro max 3 months back. My mom will kill me ,,,,
@igwezy0,Igwezy01,19 Jan,@_odunlade ,,,,15
@mark001282,Mark Armstrong,19 Jan,I want to  buy a phone with a great camera. Remember back in 2012 you had a phone @nokia that was infinitely better than the iPhone . #808pureview ,,,,
@Amy71510490,Amy,18 Jan,@AmazonHelp and and @realsassysally ,2,,,12
@BawanAl44533807,Mu'aZzam,18 Jan,@Nazeephie ,,,1,53
@thv_thm2,taehyungggggggggg,18 Jan,Wts BTS iPhone 11 case ( 2021 holiday collection little wishes ) i never used this Casing i buy it RM102 so i want to sell RM88 inc postage ( can nego if u interested )  #pasarBTSMY  #pasarBts ,,1,,1398
@baoqi_017_0319_,baoqi_017 바오치,18 Jan,@lanling03 ,1,,,38
@JjembaMuniru,JJEMBA MUNIIRU,17 Jan,@dennis_mayega and and @GalaxyFMUg ,1,,,7
@NgoziPreshy,NGOZI,17 Jan,"Valentine is coming, i want to sell my phone go buy my partner a gift. Who go buy my iPhone 5? Serious buyer pls ",,,,
@Hadi6906,James,17 Jan,@exkiisite and and @HoshizoraOW ,1,,3,98
@2Faizkhan000999,faiz qureshi,17 Jan,I want to  buy  iPhone plz help ne asap ,,,,
@stinky_dinosaur,susanna,17 Jan,lowkey i want to  buy  iphone 6s rose gold or 5s space gray just for the aesthetic purposes ,,,,
@Sync,Sync.com,,Get Unlimited Cloud Storage and File Sharing at http:// ,1,4,79,1.1M
@stromdotcom,Rick Strom,17 Jan,Why on Earth are mobile filters so expensive? I want to  buy a set of ND filters to use with an iPhone but everywhere I look the prices are ludicrous.  $99 for a case/mount plus $80 per filter… what? ,,,,
@mrtweetelonmusk,Picoin𓃵,16 Jan,I want to sell iphone 13promax should i use @pichainmall how much pi you spend to buy  iPhone 13pro??? #pinetwork ,,,,
@lxnd_fr,Lxnd,16 Jan,@TechWithAlyan ,,,,36
@zehanilyana,Zehan,16 Jan,"I think after this if i wanna buy another iphone , i want to choose white.

I think white really looks pretty guna apa2 case pun.

Purchase the new case for both phones kat mr diy je, sebab my case dah teruk banyak tercabut ",3,3,32,3536
@adeyemi_yaya,Adey,15 Jan,I want to  buy an iPhone for my babe and I so I can airdrop her videos and pictures like this. ,,,3,118
@Astrooomauricio,urlocalwitch,14 Jan,@empressatlantis ,1,,1,68
@ArtetaArmy2022,Trust The Process,14 Jan,@ForLinkin ,2,1,1,42
@jeongcasso,sisiel ia,14 Jan,cant decide if i want to  buy an iphone or upgrade my work set up ,,,,
@BladeGreaver,GreaverBlade,13 Jan,@rayonnyiemoboy ,1,,,24
@1boreen_ye,Ye,13 Jan,@gashumba256 ,4,,1,86
@probberries,bibi,13 Jan,I think I want to  buy an iphone but I don't know anything about it. like which ones are good? whats the difference between regular and pro? pffffff ,3,,13,514
@gopal0507,गोपाल शर्मा,13 Jan,@AxisBankSupport ,2,,,31
@ArpitNahiMila,Arpit 'Satya Prakash' Patel,13 Jan,@MicrosoftvApple ,5,,10,108
@SinhThienNguyen,Sinh Nguyen,12 Jan,"Hey, I want to  buy these apps and media on my PC first. I don't want to have to be locked to my iPhone . I mean, iTunes is where you turn your physical library digital. ",,,,
@Balmain,Balmain,,"Revivez la collection #BALMAINFW23 d'Olivier Rousteing.
Des ornements scintillants, des bustiers sculpturaux et des nœuds magnifiés ont fermé le défilé Automne-Hiver 2023, déjà considéré comme un tournant dans l'héritage de la Maison. ",,1,18,219.7K
@blockoffame,Block of Fame,10 Jan,‘ I Want To  Buy ₦40k iPhone 7’ ,1,,,13
@DTZ_VinoD,vinovinoth 880,10 Jan,Difference Between Need & Greedy  I want to  buy Mobile Phone  I want to  buy  iPhone ,,,,
@biz_burner,MusicBizBurner,10 Jan,@alifarhat79 ,,,2,42
@nairaland,Nairaland Forum,10 Jan,"' I Want To  Buy ₦40k iPhone 7': A friend wants to sell an Iphone 7 to me for 40k
He got it around december,I'm still skeptical about buying the fone because i think its already old
But then i need the fone
Pls what advice can u give me regarding iphone 7?? http:// ",,,,
@abhi24to7,ABHI,10 Jan,@geekyranjit ,1,,,36
